field,game_result,side_line,line,odds
1,L,127,9.5,-105
0,W,132,8.5,111
0,W,-111,8.5,-111
0,W,113,8.5,-110
0,L,230,9,100
0,L,155,10,-103
0,L,175,8,109
0,W,157,10,-105
1,W,112,8.5,-105
1,L,-154,7,-114
1,W,112,9.5,-106
1,W,-148,8.5,-104
1,W,-153,8.5,-116
1,L,-155,8.5,-116
0,L,-106,7.5,102
0,L,164,7.5,113
0,W,119,7.5,120
0,W,-107,8,102
0,L,-107,6.5,103
1,L,-119,9,-120
1,W,-132,8,100
1,W,-178,7.5,-115
0,W,-102,8.5,109
0,W,-163,7,-101
0,W,-132,8,101
0,L,-109,8.5,111
0,L,113,9.5,-121
0,L,158,9.5,104
0,L,-131,7.5,100
0,W,-108,8,-105
0,W,100,9.5,-111
0,W,169,7,-115
1,W,-162,6.5,-107
1,L,117,6.5,-108
1,L,112,7.5,-110
1,L,-132,8.5,111
1,L,173,7.5,-116
0,L,-140,6.5,110
0,W,108,6.5,-111
0,W,137,7,110
0,W,140,8,-109
0,L,144,8,106
0,L,-113,6,-106
1,W,124,8.5,-103
1,L,106,8,-107
1,W,-101,8.5,112
1,W,-210,7,-113
1,W,-111,7.5,-103
1,L,101,9.5,106
1,W,145,7,-114
1,W,-137,9,-105
1,W,-243,7.5,-111
1,L,107,7,-131
0,W,-104,10.5,-111
0,L,138,10.5,-115
0,W,136,8.5,-101
0,L,-113,10,-102
0,W,-115,6.5,102
0,L,161,8.5,110
0,W,167,8.5,-109
0,W,151,7.5,-126
0,L,148,8,-108
1,L,106,9.5,107
1,W,106,10,-130
1,W,-103,8.5,100
1,L,-102,7.5,-117
1,L,-200,7,-135
1,L,-103,8.5,-113
0,L,-105,9.5,-109
0,W,-114,9,-115
0,W,-114,8.5,-121
1,W,-111,7,-108
1,L,134,9,-105
1,W,158,9,-116
1,L,-137,9,-107
1,L,-113,8.5,-107
1,L,-156,7.5,-104
0,W,196,9,105
0,L,178,8.5,-110
0,W,171,8.5,-107
0,W,149,6.5,100
0,L,129,9.5,105
0,L,-101,8,-120
0,L,113,9.5,-105
0,L,-104,8.5,100
1,W,-252,8,-111
1,L,109,8.5,-102
1,W,-149,9,101
1,W,-124,9.5,-115
1,W,-132,8.5,-101
1,L,103,6.5,-110
1,L,-110,9.5,-119
1,L,107,8,105
1,L,134,8.5,110
1,W,-121,9,-101
0,W,-130,8.5,-111
0,L,120,9,-108
0,L,209,7.5,-102
0,W,156,7.5,-107
1,L,-138,9,-104
1,W,-164,8.5,100
1,W,-109,9.5,102
1,W,-130,7,-113
0,L,106,8,108
0,W,116,8.5,-115
0,W,142,9,-112
0,L,-111,9,-115
0,L,-169,8.5,-106
0,W,-102,9,110
1,L,-123,7.5,104
1,L,112,8.5,114
1,L,155,7.5,110
1,W,-212,8.5,104
1,W,-141,9.5,-109
1,L,-204,8.5,-103
1,L,-102,8.5,-109
1,L,-126,9,-103
1,W,-160,8,-105
0,L,150,9.5,-113
0,L,139,10,-109
0,W,108,9.5,107
0,W,-105,9.5,-111
0,L,-146,8.5,-107
0,L,-104,8.5,-119
0,W,173,9.5,-110
0,W,-102,10.5,-117
0,L,269,8.5,-105
1,W,-148,8,-105
1,W,-137,9,113
1,L,-116,9,-105
1,L,-135,7.5,-107
1,W,-113,9,-108
1,W,-149,8.5,-102
1,L,112,8.5,-110
0,W,105,9,102
0,W,-130,8.5,102
0,L,-107,7,-128
1,L,-150,7.5,-123
1,W,-123,8.5,-105
1,W,-113,7.5,-110
1,L,-119,8,-117
1,L,-148,8,-113
1,L,111,8,110
1,W,-120,8,102
0,W,236,8,-110
0,W,140,9,110
0,L,136,8.5,101
0,L,108,8,-101
0,L,101,8,108
1,L,-103,7,-126
1,L,131,7,104
1,L,127,7,-104
1,W,-153,8,102
1,W,-185,7.5,101
1,W,-156,7.5,-107
1,L,145,7.5,-117
1,W,100,8.5,102
1,L,214,7.5,109
0,W,101,8,103
0,W,128,8.5,-107
